STATE,"Combined Heat and Power, Commercial Power","Combined Heat and Power, Electric Power","Combined Heat and Power, Industrial Power","Electric Generators, Electric Utilities","Electric Generators, Independent Power Producers"
Alabama,,4031284.0,4640625.0,107332203.0,26951021.0
Alaska,350961.0,199567.0,111167.0,5229889.0,51946.0
Arizona,154109.0,52607.0,,86348455.0,22053364.0
Arkansas,62138.0,1023489.0,1196172.0,53337372.0,4610966.0
California,2400833.0,12417294.0,13513450.0,61737284.0,106658255.0
Colorado,36299.0,36630.0,256192.0,41364398.0,15044208.0
Connecticut,316120.0,123788.0,612116.0,94324.0,42977227.0
Delaware,5393.0,120682.0,911931.0,27602.0,2974368.0
District of Columbia,192259.0,,,,25982.0
Florida,94938.0,1687473.0,4627611.0,227993628.0,9997388.0
Georgia,4709.0,527596.0,5095128.0,102646398.0,18256914.0
Hawaii,364608.0,2294288.0,221674.0,4721460.0,1586059.0
Idaho,68356.0,67388.0,549107.0,10963685.0,5300045.0
Illinois,479422.0,678171.0,2604846.0,4449700.0,173647238.0
Indiana,252336.0,7702678.0,4635238.0,60991572.0,20983337.0
Iowa,142150.0,4065.0,2065822.0,54854481.0,9053748.0
Kansas,14183.0,,227115.0,33280054.0,23224604.0
Kentucky,,,488378.0,69475325.0,590556.0
Louisiana,178332.0,2744341.0,27210840.0,63497630.0,4430824.0
Maine,97587.0,383728.0,1791822.0,2757.0,8676881.0
Maryland,903744.0,2354509.0,48121.0,3471172.0,32941750.0
Massachusetts,615107.0,1545820.0,205260.0,475936.0,16524870.0
Michigan,666787.0,11961229.0,1309135.0,82022526.0,20085706.0
Minnesota,294468.0,1060440.0,1009956.0,42688355.0,14574806.0
Mississippi,0.0,,1973656.0,63535756.0,3203912.0
Missouri,194535.0,35308.0,43681.0,70672595.0,6869864.0
Montana,,454274.0,35043.0,10341964.0,13635356.0
Nebraska,17924.0,,344119.0,28818115.0,9464485.0
Nevada,627385.0,2183913.0,337614.0,27261577.0,11469702.0
New Hampshire,64793.0,,29005.0,660630.0,16680571.0
New Jersey,643269.0,6911562.0,471206.0,62574.0,53297916.0
New Mexico,122000.0,20251.0,47907.0,21893403.0,13187735.0
New York,1283601.0,11479531.0,823687.0,37266100.0,74373107.0
North Carolina,272098.0,214178.0,1785588.0,110756163.0,18234659.0
North Dakota,1062.0,,151658.0,33414342.0,9138170.0
Ohio,253876.0,1593690.0,746445.0,12554827.0,108186775.0
Oklahoma,0.0,,839104.0,36250892.0,43474126.0
Oregon,81269.0,5909188.0,631597.0,39845292.0,14614491.0
Pennsylvania,384086.0,7924375.0,2728321.0,108593.0,230502990.0
Rhode Island,57448.0,,137274.0,2.0,7840293.0
South Carolina,2208.0,681915.0,1804888.0,94331677.0,3103721.0
South Dakota,12.0,,28443.0,9905266.0,7900910.0
Tennessee,205813.0,,2204479.0,78603229.0,465366.0
Texas,612265.0,41947893.0,41286435.0,82082918.0,317632258.0
Utah,126450.0,53816.0,416947.0,37112550.0,4947012.0
Vermont,3141.0,,,915005.0,1229592.0
Virginia,331937.0,1012106.0,2333899.0,73103690.0,17527387.0
Washington,28077.0,,2101582.0,94110728.0,12882339.0
West Virginia,,,1286664.0,47093799.0,17250101.0
Wisconsin,139561.0,943289.0,1451525.0,51160716.0,11783588.0
Wyoming,,,2234720.0,37365474.0,4050482.0
